city_id,city_name,latitude,longitude,demand
HCMC,Ho Chi Minh City,10.7756,106.7019,800
HN,Hanoi,21.0245,105.8412,700
CT,Cần Thơ,10.1547,105.5005,100
HP,Haiphong,20.8000,106.6667,135
BH,Biên Hòa,10.9508,106.8221,85
TD,Thủ Đức,10.8486,106.7721,90
H,Huế,16.4561,107.5764,60
TA,Tân An,10.9050,106.6994,40
BN,Bắc Ninh,21.1861,106.0763,60
HD,Hải Dương,20.9399,106.3309,50
V,Vinh,18.6733,105.6922,40
BG,Bắc Giang,21.2731,106.1947,45
NT,Nha Trang,12.2450,109.1917,30
DL,Đà Lạt,11.9400,108.4375,20
TH,Thanh Hóa,19.8075,105.7764,25
HT,Hà Tĩnh,18.3431,105.9058,27
VT,Vũng Tàu,10.4042,107.1417,25
ND,Nam Định,20.4200,106.1683,25
TN,Thái Nguyên,21.6000,105.8500,15
BMT,Buôn Ma Thuột,12.6667,108.0500,15
TDM,Thủ Dầu Một,11.0042,106.6583,26
CM,Cà Mau,9.1833,105.1500,10
QN,Quy Nhơn,13.7696,109.2314,18
LX,Long Xuyên,10.3686,105.4234,12
VT1,Việt Trì,21.3136,105.3947,14
MT,Mỹ Tho,10.3600,106.3600,11
TB,Thái Bình,20.4461,106.3422,18
SD,Sa Đéc,10.3105,105.7397,9
PT,Phan Thiết,10.9375,108.1583,11
DH,Đồng Hới,17.4833	106.6000,12
LC,Lào Cai,22.4194,103.9950,8
DN,Đà Nẵng,16.0748,108.2240,101
HM,Hóc Môn,10.8872,106.5931,95
DA,Đông Anh,21.1396,105.8493,79
HL,Hoa Lư,20.2581,105.9797,40
HD,Hà Đông,20.9714,105.7788,60



